,sensor_id,group,test,predict,lower,upper,std_test,std_predict,std_lower,std_upper
2019-09-01 09:00:00,1,1,602,779,869,2304,-0.567394674146953,-0.4344237653000243,-0.36731448662139166,0.7045485977163172
2019-09-01 10:00:00,1,1,1189,1587,1669,3103,-0.12884964992100692,0.1685777775789423,0.2298868961975532,1.3018052796464534
2019-09-01 11:00:00,1,1,2063,2386,2240,3675,0.5241117660474376,0.765806795196981,0.6569781679896496,1.7289505859471415
2019-09-01 12:00:00,1,1,2613,2958,2384,3819,0.9350142589337586,1.1929250898613764,0.7646001559043619,1.8366229055252852
2019-09-01 13:00:00,1,1,3134,3102,2218,3653,1.324250984013346,1.3005722694750355,0.6400059973517239,1.7120686914511114
2019-09-01 14:00:00,1,1,3499,2935,1848,3283,1.596940820201541,1.1759981384762264,0.36395160056008646,1.4360469745609312
2019-09-01 15:00:00,1,1,3262,2566,1781,3216,1.4198792005396172,0.899960131458785,0.3135719186827496,1.3856974401948579
2019-09-01 16:00:00,1,1,2407,2498,1667,3102,0.781112597961791,0.849595580386515,0.22866284656302527,1.3008048733235729
2019-09-01 17:00:00,1,1,2379,2385,1633,3068,0.7601939255966692,0.7646948806620681,0.20331053743931315,1.2754465738214118
2019-09-01 18:00:00,1,1,1977,2351,1039,2474,0.4598615580688492,0.739339778727559,-0.24030898552799695,0.831763086827602
2019-09-01 19:00:00,1,1,937,1757,593,2028,-0.31711770120710303,0.29568859877702874,-0.5737631819619471,0.49819885129716823
2019-09-01 20:00:00,1,1,610,1310,203,1637,-0.5614179106140611,-0.03782024539360251,-0.8652628376365383,0.20655828236588025
2019-09-01 21:00:00,1,1,349,920,0,1263,-0.7564098208746607,-0.32938991767047854,-1.010422271022568,-0.07291925838774771
2019-09-01 22:00:00,1,1,243,546,0,985,-0.8356019376854789,-0.6087875690371303,-1.010422271022568,-0.2806080059885657
2019-09-01 23:00:00,1,1,128,268,0,714,-0.9215179134708005,-0.8164026282379436,-1.010422271022568,-0.4835847215122283
2019-09-02 00:00:00,1,1,49,0,0,656,-0.9805384533581084,-1.010422271022568,-1.010422271022568,-0.52655029819568
