date_time,sensor_id,group,test,predict,lower,upper,std_test,std_predict,std_lower,std_upper
2019-08-29 00:00:00,22,1,236,301,0,881,-1.1965699093079094,-1.146847419814989,-1.3410575325146008,-0.7055347615897076
2019-08-29 01:00:00,22,1,112,201,0,837,-1.290867094979645,-1.223024188768875,-1.3410575325146008,-0.7390736222163862
2019-08-29 02:00:00,22,1,65,157,0,862,-1.3266087701939318,-1.2565957772801402,-1.3410575325146008,-0.7201663772867469
2019-08-29 03:00:00,22,1,88,181,0,853,-1.3091181631741744,-1.2377031493554034,-1.3410575325146008,-0.7267147897592525
2019-08-29 04:00:00,22,1,46,173,0,898,-1.3410575325146008,-1.2442940188407905,-1.3410575325146008,-0.6930681329773168
2019-08-29 05:00:00,22,1,178,217,155,1524,-1.240676657444689,-1.2106507485027589,-1.2581175856264672,-0.21709433351063576
2019-08-29 06:00:00,22,1,715,843,946,2315,-0.8323090065920926,-0.7347173027641614,-0.6560108699711616,0.3850569797903815
2019-08-29 07:00:00,22,1,1672,1635,2103,3472,-0.1045476623352311,-0.1325749522690546,0.22336842188333306,1.264482295499436
2019-08-29 08:00:00,22,1,3130,2791,1603,2972,1.0042047304824326,0.7468216166236556,-0.15643851189042673,0.8847207781500579
2019-08-29 09:00:00,22,1,2147,2292,1246,2615,0.25667139568149744,0.3670456009455288,-0.42828696144878253,0.61291861556707
2019-08-29 10:00:00,22,1,1829,1934,1645,3014,0.014844742103982338,0.09520807777369117,-0.12450377620944565,0.9167467817745436
2019-08-29 11:00:00,22,1,2230,2334,2594,3963,0.31978967318757845,0.3990255507380261,0.5968932043232508,1.6381899991384592
2019-08-29 12:00:00,22,1,3059,3282,2752,4121,0.9502119870736164,1.1204338949893071,0.7171322794283892,1.7584740505532523
2019-08-29 13:00:00,22,1,3448,3440,2276,3645,1.2460313840599475,1.240703157414552,0.3548338264382245,1.3962213938157155
2019-08-29 14:00:00,22,1,3175,2964,2669,4039,1.038425483347175,0.8784231105067957,0.6542715860513839,1.6957044727316744
2019-08-29 15:00:00,22,1,3170,3358,3256,4626,1.034623177473315,1.177890059593031,1.1005310251670806,2.142009924639441
2019-08-29 16:00:00,22,1,3846,3945,4121,5490,1.5486949316192276,1.6241649423617677,1.7581136448168238,2.7996377494976725
2019-08-29 17:00:00,22,1,4819,4809,3432,4801,2.2886236546724423,2.2817781474624965,1.2340533040236197,2.2756234635670296
2019-08-29 18:00:00,22,1,3834,4120,2266,3636,1.5395693975219629,1.7577332950984823,0.34786943295177664,1.3894848387454464
2019-08-29 19:00:00,22,1,2801,2955,1887,3257,0.7540130039824248,0.8715766551555525,0.05955411640275321,1.1012152566707318
2019-08-29 20:00:00,22,1,2251,2576,1505,2875,0.3357593578577917,0.5832805191394559,-0.2310933529821777,0.8106131288495584
2019-08-29 21:00:00,22,1,1865,2194,1482,2852,0.0422213443957765,0.2926602637519635,-0.2482838238491101,0.7934684811706767
2019-08-29 22:00:00,22,1,1318,2171,651,2021,-0.3737509182045404,0.275487812328123,-0.8808646462392435,0.16093295956975506
2019-08-29 23:00:00,22,1,716,1339,104,1474,-0.8315485454173206,-0.3570649177971237,-1.2969037932520489,-0.2550603081543209
2019-08-30 00:00:00,22,1,302,792,0,1044,-1.1463794717729534,-0.7730857492352298,-1.3410575325146008,-0.5815650848435272
2019-08-30 01:00:00,22,1,190,363,0,1005,-1.2315511233474243,-1.0996101953847366,-1.3410575325146008,-0.6113354574991721
2019-08-30 02:00:00,22,1,132,324,0,878,-1.2756578714842035,-1.1294062339752784,-1.3410575325146008,-0.7077550082495465
2019-08-30 03:00:00,22,1,151,197,0,887,-1.261209109163535,-1.225845477397469,-1.3410575325146008,-0.7012689033214274
2019-08-30 04:00:00,22,1,90,205,0,976,-1.3075972408246304,-1.2193855589168114,-1.3410575325146008,-0.6335535413699255
2019-08-30 05:00:00,22,1,234,295,134,1504,-1.1980908316574537,-1.1516892865670314,-1.2739233354268094,-0.2318065344528405
2019-08-30 06:00:00,22,1,670,823,785,2155,-0.8665297594568354,-0.7499679899729418,-0.7787611023780368,0.26340113984252805
2019-08-30 07:00:00,22,1,1430,1474,2110,3480,-0.2885792666300697,-0.2547809282967229,0.22874576800762925,1.2709536714885998
2019-08-30 08:00:00,22,1,2796,2799,1618,2988,0.7502106981085644,0.7527467830133918,-0.1453556634632901,0.8968976886118429
2019-08-30 09:00:00,22,1,2249,2307,1552,2922,0.3342384355082476,0.3786700861795467,-0.1956571726325934,0.8466418395253276
2019-08-30 10:00:00,22,1,2130,2241,1929,3299,0.24374355571037246,0.3283891140238817,0.09094787514857484,1.1332923024468058
2019-08-30 11:00:00,22,1,2502,2618,2877,4248,0.5266351127255788,0.6150191683258599,0.8122821572395841,1.8546722416821682
2019-08-30 12:00:00,22,1,3671,3566,3152,4523,1.4156142260341171,1.3363744764624976,1.0215600464223555,2.06399559697382
2019-08-30 13:00:00,22,1,3918,3842,2964,4335,1.6034481362028157,1.5456765757846955,0.8780938753374863,1.9205750433933784
2019-08-30 14:00:00,22,1,3567,3653,3096,4467,1.3365262638578228,1.4022318645335217,0.9784232789186008,2.0209499197455383
2019-08-30 15:00:00,22,1,3455,3785,3646,5017,1.251354612283352,1.5025853845858117,1.3972623104563495,2.4398345678605677
